word1,word2,
efficient,incompetent,
dovish,hawkish,
imaginary,real,
lateral,bottom,
invalid,valid,
wild,realistic,
idle,busy,
welcome,unwelcome,
hot,far,
bilateral,unilateral,
deciduous,permanent,
philosophical,emotional
structured,unstructured,
selfish,unselfish,
plump,lean,
broad,small,
unlawful,lawful,
secure,vulnerable,
fuzzy,hairless,
perinatal,prenatal,
irreversible,reversible,
unbound,bound,
equal,mixed,
concordant,discordant,
humid,dry,
unreserved,reserved,
antique,new,
casual,formal,
collective,capitalist,
irregular,normal,
perpendicular,inclined,
incoherent,coherent,
open,closed,
painful,comfortable,
distal,mesial,
oriental,occidental,
rocky,stable,
tiresome,interesting,
witting,unwitting,
great,small,
pastel,dark,
quadruple,single,
wide,thin,
noisy,quiet,
dorsal,ventral,
wild,mild,
female,androgynous,
monumental,small,
unorganized,organized,
distinct,indistinct,
clear,guilty,
worldwide,national,
human,nonhuman,
superfluous,necessary,
deep,thin,
antisubmarine,offensive,
erroneous,true,
liquid,solid,
express,slow,
heated,cold,
effective,possible,
sharp,flat,
segregated,integrated,
interior,coastal,
zygomorphic,actinomorphic,
diamagnetic,paramagnetic,
strange,native,
past,present,
precocial,altricial,
unique,comparable,
viviparous,oviparous,
reversible,irreversible,
positive,neutral,
subordinate,chief,
soft,intense,
perennial,short,
hypotonic,hypertonic,
facultative,obligate,
holy,unholy,
illicit,legal,
intangible,tangible,
increased,reduced,
watery,dry,
frosty,hot,
inconspicuous,conspicuous,
reduced,increased,
weak,smart,
affluent,poor,
prescriptive,descriptive,
bent,upright,
ambitious,easy,
elaborate,simple,
speculative,empirical,
homegrown,foreign,
straight,curved,
justified,unjustified,
improbable,plausible,
bright,dull,
extremist,moderate,
lateral,medial,
fifth,cardinal,
desperate,fearful,
safe,adventurous,
episodic,predictable,
conspicuous,inconspicuous,
arithmetic,geometric,
last,low,
flexible,inflexible,
inexperienced,experienced,
supplemental,primary,
orthogonal,parallel,
reserved,unreserved,
sudden,gradual,
vernacular,formal,
average,extraordinary,
captive,free,
thick,slim,
spiral,straight,
brief,long,
paranormal,normal,
heterosexual,bisexual,
forward,backward,
level,uneven,
auxiliary,primary,
whig,tory,
bitter,pleasant,
notable,unknown,
legendary,real,
black,white,
stringy,thin,
native,foreign,
vicious,right,
remote,accessible,
unscientific,scientific,
uptown,downtown,
internal,foreign,
supernatural,ordinary,
metallic,nonmetallic,
grey,terminal,
chromatic,achromatic,
elderly,young,
cold,warm,
lovely,ugly,
dim,light,
rustic,urban,
perpendicular,oblique,
secret,open,
unsuccessful,successful,
latent,active,
ethical,unethical,
ready,unwilling,
infrasonic,ultrasonic,
imaginative,practical,
second,first,
symmetric,asymmetric,
commonplace,unusual,
profitable,unprofitable,
dreadful,good,
dextral,sinistral,
psychological,physical,
tubular,solid,
muddy,clean,
hydrous,anhydrous,
divisible,indivisible,
central,peripheral,
pro,anti,
narrow,wide,
gay,heterosexual,
atomic,big,
mechanical,atomic,
permanent,reversible,
marginal,wide,
systemic,local,
dumb,smart,
classified,unclassified,
nonmetallic,metallic,
paved,unpaved,
marginal,central,
shameful,honorable,
protogynous,protandrous,
rural,urban,
protective,tough,
macroscopic,small,
nonpublic,public,
dry,humorless,
dangerous,safe,
top,bottom,
early,present,
dual,singular,
junior,senior,
coloured,white,
crystalline,amorphous,
local,universal,
developed,undeveloped,
semiarid,wet,
unregulated,regulated,
distal,proximal,
intermittent,constant,
limited,infinite,
livid,dark,
commensurate,incommensurate,
newborn,old,
polar,equatorial,
sick,strong,
excessive,insufficient,
interdependent,independent,
monochromatic,polychromatic,
specific,nonspecific,
reactive,unreactive,
saline,fresh,
immediate,distant,
harsh,pleasant,
ready,unprepared,
enormous,small,
conversational,formal,
ductile,brittle,
spacious,small,
mechanical,electronic,
exotic,native,
solid,diversified,
persistent,sporadic,
inaccurate,accurate,
loud,soft,
natural,adoptive,
experienced,inexperienced,
tense,lax,
famous,unknown,
staminate,pistillate,
organic,functional,
bigamous,monogamous,
preliminary,final,
teenage,old,
antiquated,new,
insectivorous,herbivorous,
heavy,shallow,
hydrophilic,hydrophobic,
mixed,homogenous,
adverse,favourable,
separate,joint,
overweight,thin,
alcoholic,nonalcoholic,
hypersonic,supersonic,
innocent,sophisticated,
mineral,organic,
horizontal,vertical,
solid,broken,
excessive,deficient,
free,bound,
multilingual,monolingual,
prosperous,poor,
past,future,
monosyllabic,polysyllabic,
clean,unclean,
mischievous,serious,
